outgoing_connections,obyt_SUM,ibyt_SUM,ln_ibyt_SUM,ln_obyt_SUM,weighted_degree,ip,degree,total_traffic,ln_total_traffic,ln_degree,ln_weighted_degree,label
918,4479186,35909298,17.3965068171,15.3149518915,954.0,172.10.1.233,23,40388484,17.5140552528,3.13549421593,6.86066367145,1.0
712,1578007,4087014,15.223325188,14.2716732164,734.0,172.10.1.29,25,5665021.0,15.5498211594,3.21887582487,6.59850902861,1.0
619,1503630,5394164,15.5008281864,14.2233927426,636.0,172.30.2.61,20,6897794.0,15.7467122083,2.99573227355,6.45519856334,1.0
869,1186200,5689678,15.554164214,13.9862654784,884.0,172.10.2.94,16,6875878.0,15.7435299025,2.77258872224,6.78445706264,1.0
702,1694251,3127034,14.9555955094,14.3427513132,782.0,172.30.1.102,16,4821285.0,15.388551048,2.77258872224,6.66185474055,1.0
1096,24391823,7204512,15.7902180544,17.0097585111,1108.0,172.10.1.180,23,31596335,17.2685516908,3.13549421593,7.01031186731,1.0
1038,12185379,36895126,17.4235900136,16.3157473484,1083.0,172.10.1.223,23,49080505,17.7089724671,3.13549421593,6.987490247,1.0
807,2077338,7188154,15.7879449513,14.5465978243,820.0,172.20.1.39,17,9265492.0,16.0418075194,2.83321334406,6.70930434026,1.0
794,3033399,15660316,16.5666404271,14.9251943309,822.0,172.10.2.19,23,18693715,16.7436979291,3.13549421593,6.71174039506,1.0
768,2612051,10067484,16.1248213824,14.7756462945,784.0,172.20.2.75,17,12679535,16.3554998344,2.83321334406,6.66440902035,1.0
1118,14292022,39072273,17.480923643,16.4752120374,1167.0,172.30.2.21,20,53364295,17.7926524473,2.99573227355,7.06219163229,1.0
800,2434417,8013124,15.8965912555,14.7052178608,863.0,172.30.1.149,19,10447541,16.1618771977,2.94443897917,6.76041469108,1.0
1011,8531611,30458307,17.2318693228,15.9592887645,1043.0,172.20.1.208,21,38989918,17.4788136579,3.04452243772,6.949856455,1.0
765,4445564,12719916,16.3586795121,15.307417303,784.0,172.20.2.147,20,17165480.0,16.6584109484,2.99573227355,6.66440902035,1.0
668,1727033,21641242,16.890111404,14.3619154652,691.0,172.20.1.92,21,23368275,16.9668898912,3.04452243772,6.53813982377,1.0
732,2031838,3623186,15.1028643072,14.5244513601,748.0,172.30.1.15,21,5655024.0,15.5480549116,3.04452243772,6.61740297797,1.0
652,1970375,1211514,14.0073813751,14.4937344379,665.0,172.20.1.120,18,3181889.0,14.9729856036,2.8903717579,6.49978704066,1.0
736,3215019,11197337,16.2311865401,14.9833438254,750.0,172.10.2.1,21,14412356,16.4835964522,3.04452243772,6.62007320653,1.0
605,1969747,9351502,16.0510475301,14.4934156661,622.0,172.30.1.54,21,11321249,16.2421919603,3.04452243772,6.43294009274,1.0
1242,27410921,7840704,15.8748391842,17.1264520686,1260.0,172.10.1.128,25,35251625,17.3780221855,3.21887582487,7.13886699995,1.0
840,1361217,6799934,15.7324234642,14.1238897105,851.0,172.10.2.141,18,8161151.0,15.9148957709,2.8903717579,6.74641212857,1.0
706,2692341,15186156,16.5358947813,14.8059216333,731.0,172.30.1.136,21,17878497,16.6991092638,3.04452243772,6.59441345975,1.0
771,1940929,10972098,16.2108660628,14.4786772824,793.0,172.20.1.138,20,12913027,16.3737472047,2.99573227355,6.67582322163,1.0
688,1665665,13073409,16.3860908779,14.3257350011,708.0,172.30.1.174,18,14739074,16.5060126205,2.8903717579,6.56244409369,1.0
1223,16326289,14523805,16.4912995854,16.6082871887,1320.0,172.30.2.43,19,30850094,17.2446503553,2.94443897917,7.18538701558,1.0
1504,20367052,36301152,17.4073600343,16.8294290551,1564.0,172.20.1.243,20,56668204,17.8527238354,2.99573227355,7.35500192111,1.0
793,1920032,6741552,15.7238007234,14.4678524105,806.0,172.20.1.48,17,8661584.0,15.9744081737,2.83321334406,6.69208374251,1.0
735,1497014,9918790,16.109941496,14.2189830154,753.0,172.10.1.50,25,11415804,16.2505092691,3.21887582487,6.6240652278,1.0
611,2493643,15879428,16.580534993,14.7292552514,625.0,172.20.2.53,17,18373071,16.726396618,2.83321334406,6.43775164974,1.0
695,2131432,3504182,15.0694676703,14.5723046123,710.0,172.20.1.15,19,5635614.0,15.5446166614,2.94443897917,6.56526497004,1.0
1187,27997454,4282890,15.2701385733,17.1476241354,1215.0,172.10.1.178,27,32280344,17.2899690581,3.295836866,7.10249935577,1.0
1439,25878530,29456249,17.1984166357,17.0689242254,1480.0,172.30.1.222,20,55334779,17.8289121838,2.99573227355,7.29979736676,1.0
2428,1538900244,1125705873,20.8416761185,21.154333871,93361.0,10.0.0.10,2095,2664606117,21.7033220851,7.64730883236,11.4442289781,1.0
993,8546628,17699190,16.6890294338,15.9610473772,1020.0,172.30.2.12,19,26245818,17.08301722,2.94443897917,6.92755790628,1.0
717,1982760,3226032,14.986763457,14.5000003714,729.0,172.20.1.174,17,5208792.0,15.465858525,2.83321334406,6.59167373201,1.0
1148983,284971351,1193984,13.9928061725,19.4678992104,1160954.0,10.12.15.152,24,286165335,19.4720802962,3.17805383035,13.9647526389,1.0
757,2828880,17256161,16.6636797971,14.8553914316,778.0,172.20.1.188,20,20085041,16.8154858671,2.99573227355,6.65672652418,1.0
1185,27489740,10346852,16.1521928768,17.1293234021,1198.0,172.10.1.139,21,37836592,17.4487872347,3.04452243772,7.08840877868,1.0
1300,29137725,7812736,15.8712657806,17.1875442843,1331.0,172.10.1.190,26,36950461,17.4250886816,3.25809653802,7.1936858184,1.0
642,4061372,9566442,16.0737719075,15.2170314055,657.0,172.20.2.68,17,13627814,16.4276234093,2.83321334406,6.48768401848,1.0
781,1577276,9532382,16.0702051919,14.2712098665,795.0,172.30.1.76,20,11109658,16.2233253781,2.99573227355,6.67834211465,1.0
621,1507225,5279948,15.4794268071,14.2257807697,631.0,172.30.2.74,18,6787173.0,15.7305450653,2.8903717579,6.44730586254,1.0
776,1690905,3114078,14.9514436792,14.3407744465,783.0,172.30.1.26,16,4804983.0,15.3851640624,2.77258872224,6.66313269599,1.0
802,2982275,9570430,16.0741886945,14.90819699,822.0,172.20.1.40,20,12552705,16.3454467382,2.99573227355,6.71174039506,1.0
740,2760840,7340498,15.8089172457,14.8310455392,761.0,172.30.2.104,22,10101338,16.1281784483,3.09104245336,6.63463335786,1.0
727,2009205,12071628,16.3063684638,14.5132496794,746.0,172.30.2.134,23,14080833,16.4603250689,3.13549421593,6.6147256002,1.0
743,1596957,2334336,14.6632380403,14.2836105013,760.0,172.10.2.122,20,3931293.0,15.1844789374,2.99573227355,6.63331843328,1.0
759,2859812,16752526,16.6340596108,14.8662664464,777.0,172.20.2.109,18,19612338,16.791669416,2.8903717579,6.65544035037,1.0
1034,10084346,25399918,17.0502565036,16.1264948785,1067.0,172.30.2.14,20,35484264,17.3845998886,2.99573227355,6.9726062513,1.0
735,1714366,6105236,15.6246573216,14.3545538909,746.0,172.20.1.44,16,7819602.0,15.8721442161,2.77258872224,6.6147256002,1.0
1091,24309988,14755794,16.5071463772,17.0063978527,1105.0,172.10.1.135,22,39065782,17.4807575011,3.09104245336,7.00760061395,1.0
1228,14468639,21495566,16.8833572393,16.4874940375,1255.0,172.20.1.216,20,35964205,17.3980346962,2.99573227355,7.13489085157,1.0
1268,28950588,9525914,16.0695264324,17.1811010727,1287.0,172.10.1.174,25,38476502,17.4655582753,3.21887582487,7.1600692076,1.0
750,2393018,3523240,15.0748915788,14.6880658888,766.0,172.10.2.44,19,5916258.0,15.5932147124,2.94443897917,6.64118216974,1.0
669,1880151,3443470,15.0519902419,14.4468626507,693.0,172.30.1.130,21,5323621.0,15.4876642689,3.04452243772,6.54102999919,1.0
707,3032999,3043902,14.928650803,14.925062457,717.0,172.30.2.69,20,6076901.0,15.6200054201,2.99573227355,6.5750758406,1.0
761,3022857,12050379,16.3046066697,14.9217129686,783.0,172.20.1.159,20,15073236,16.5284312788,2.99573227355,6.66313269599,1.0
1239,18009746,16512966,16.6196564485,16.7064236138,1268.0,172.30.2.13,21,34522712,17.3571279842,3.04452243772,7.145196135,1.0
715,3125021,1148548,13.9540090939,14.9549515611,726.0,172.30.2.107,19,4273569.0,15.2679598675,2.94443897917,6.58755001482,1.0
573,1570534,7124612,15.7790658265,14.2669262469,589.0,172.20.1.122,21,8695146.0,15.9782754969,3.04452243772,6.37842618365,1.0
1114,25297004,9230228,16.0379943082,17.0461965277,1130.0,172.10.1.113,24,34527232,17.357258904,3.17805383035,7.02997291171,1.0
715,2175926,7141770,15.7814712028,14.592964879,730.0,172.20.2.84,19,9317696.0,16.0474259458,2.94443897917,6.59304453414,1.0
1719,34665986,80506474,18.2038481615,17.3612695336,1801.0,172.30.1.243,20,115172460.0,18.5619412151,2.99573227355,7.49609734518,1.0
1073,7799445,19121878,16.7663436825,15.8695631353,1105.0,172.20.1.212,20,26921323,17.1084292071,2.99573227355,7.00760061395,1.0
1008438,273064304,1642238,14.3115705037,19.4252178712,1018085.0,10.13.77.49,19,274706542,19.4312139659,2.94443897917,13.8334339697,1.0
658,1442257,2556164,14.7540182552,14.1817198056,665.0,172.30.1.132,16,3998421.0,15.2014100911,2.77258872224,6.49978704066,1.0
682,2978658,13074622,16.3861836574,14.9069834215,699.0,172.30.2.139,23,16053280.0,16.591423748,3.13549421593,6.54965074223,1.0
896,1671087,3631290,15.105098515,14.3289848709,905.0,172.10.2.92,17,5302377.0,15.4836657685,2.83321334406,6.8079349437,1.0
1195,12052373,15565665,16.560578085,16.304772128,1228.0,172.20.1.246,20,27618038,17.1339796679,2.99573227355,7.11314210871,1.0
816,2940827,473826,13.0685954447,14.8942013923,835.0,172.20.2.115,20,3414653.0,15.0435864353,2.99573227355,6.72743172485,1.0
1152,27614870,13005893,16.3809131204,17.1338649537,1169.0,172.10.1.136,26,40620763,17.5197898978,3.25809653802,7.06390396147,1.0
1107,9856595,39562430,17.4933904885,16.1036513323,1153.0,172.20.1.215,21,49419025,17.7158460295,3.04452243772,7.05012252027,1.0
584,1652732,10597174,16.1760979198,14.3179402342,602.0,172.20.1.153,17,12249906,16.3210288215,2.83321334406,6.40025744531,1.0
962,7465012,13662544,16.430168632,15.8257375965,983.0,172.10.1.246,22,21127556,16.866088718,3.09104245336,6.89060912015,1.0
763,4260581,15437312,16.5522979941,15.2649160939,781.0,172.10.2.41,22,19697893,16.7960222337,3.09104245336,6.66057514984,1.0
2337,1531463284,1120050317,20.8366394471,21.1494895101,92158.0,10.0.0.9,2085,2651513601,21.6983964841,7.64252413423,11.4312597743,1.0
884,1959247,9105098,16.0243450344,14.4880707737,900.0,172.10.2.140,20,11064345,16.2192383341,2.99573227355,6.80239476332,1.0
663,2014534,5988218,15.60530443,14.5158984611,681.0,172.20.1.76,19,8002752.0,15.8952960405,2.94443897917,6.52356230615,1.0
611,1912080,8101954,15.9076158251,14.4637022127,626.0,172.20.1.130,18,10014034,16.1194980671,2.8903717579,6.4393503711,1.0
673,1463481,3542750,15.0804138197,14.1963284025,684.0,172.20.1.53,19,5006231.0,15.4261938945,2.94443897917,6.52795791762,1.0
718,1827607,2876422,14.8720577186,14.4185180188,734.0,172.30.1.65,18,4704029.0,15.3639299335,2.8903717579,6.59850902861,1.0
626,1558981,9588641,16.0760897267,14.2595429607,640.0,172.30.1.6,20,11147622,16.2267367596,2.99573227355,6.46146817635,1.0
1103,23740900,5432096,15.5078356211,16.9827098571,1114.0,172.10.1.148,23,29172996,17.1887540448,3.13549421593,7.01571242049,1.0
742,2173818,6429418,15.6763945789,14.5919956265,758.0,172.20.1.61,20,8603236.0,15.9676489695,2.99573227355,6.63068338564,1.0
1243,15205503,34291070,17.3503955284,16.5371679598,1274.0,172.20.1.205,22,49496573,17.7174139928,3.09104245336,7.14991683613,1.0
1217,12098523,30337870,17.2279073251,16.308593937,1261.0,172.20.1.203,22,42436393,17.5635168775,3.09104245336,7.13966033596,1.0
825,2646933,12404778,16.3335922789,14.7889121692,848.0,172.30.2.72,22,15051711,16.5270022304,3.09104245336,6.74288063579,1.0
610,1597260,12073746,16.3065439012,14.2838002192,619.0,172.20.2.67,17,13671006,16.4307877978,2.83321334406,6.42810527268,1.0
746,2569221,8297738,15.9314935055,14.7591132981,762.0,172.20.1.199,18,10866959,16.2012374591,2.8903717579,6.63594655569,1.0
734,2402891,7069814,15.7713447292,14.6921831537,746.0,172.20.1.112,18,9472705.0,16.0639250632,2.8903717579,6.6147256002,1.0
8059,12082657,54,3.98898404656,16.3072816766,8060.0,10.18.37.65,17,12082711,16.3072861458,2.83321334406,8.9946688355,1.0
770,1586708,4679662,15.3587364431,14.2771719876,780.0,172.10.1.95,24,6266370.0,15.6507077976,3.17805383035,6.65929391968,1.0
750,1982142,10970386,16.2107100185,14.4996886361,780.0,172.30.1.105,22,12952528,16.3768015394,3.09104245336,6.65929391968,1.0
591,2241062,12971588,16.3782719852,14.6224604186,604.0,172.20.1.91,18,15212650.0,16.5376378765,2.8903717579,6.40357419793,1.0
876,2648372,9348828,16.0507615458,14.7894556696,889.0,172.20.1.98,17,11997200.0,16.3001838472,2.83321334406,6.79009723551,1.0
799,1843544,14951778,16.5203407805,14.427200364,820.0,172.10.2.121,19,16795322,16.6366109532,2.94443897917,6.70930434026,1.0
718,2196665,12580124,16.3476286661,14.6024508591,738.0,172.30.1.123,20,14776789,16.5085681968,2.99573227355,6.6039438246,1.0
609,1669099,11939462,16.2953596063,14.3277945178,624.0,172.30.1.195,18,13608561,16.426209638,2.8903717579,6.43615036837,1.0
723,2676821,9028698,16.015918729,14.8001404544,737.0,172.30.1.11,21,11705519,16.2755709979,3.04452243772,6.60258789219,1.0
706,1713631,8349084,15.9376623902,14.3541250691,718.0,172.20.1.127,16,10062715,16.1243475669,2.77258872224,6.57646956905,1.0
731,1617446,2837612,14.8584734114,14.2963589199,748.0,172.30.1.157,18,4455058.0,15.3095506379,2.8903717579,6.61740297797,1.0
618,2192467,14105264,16.462058619,14.6005379518,644.0,172.30.2.54,22,16297731,16.6065364536,3.09104245336,6.4676987261,1.0
701,1911324,1737782,14.3681201454,14.4633067536,718.0,172.10.1.71,25,3649106.0,15.1099927641,3.21887582487,6.57646956905,1.0
744,1423881,3462076,15.0573789671,14.1688968,765.0,172.10.1.96,26,4885957.0,15.4018757301,3.25809653802,6.63987583383,1.0
1044598,296917522,2547574,14.7506520917,19.5089649545,1059040.0,10.200.20.2,2,299465096,19.5175084278,0.69314718056,13.8728733954,1.0
729,2203574,2669720,14.797484156,14.6055911456,750.0,172.10.1.24,23,4873294.0,15.3992806524,3.13549421593,6.62007320653,1.0
814,3976190,17859216,16.6980302355,15.1958346323,836.0,172.10.2.31,21,21835406,16.8990433387,3.04452243772,6.72862861308,1.0
